gene_id,alt_gene_name,pathway,group,level
AT5G67030,ABA1/NPQ2,mep,carotenoids,
AT1G67080,ABA4,mep,carotenoids,
AT5G47720,ACT1,mva,,-4
AT5G48230,ACT2,mva,,-4
AT1G78950,BAS,mva,triterpenes,4
AT4G25700,BCH1/CHY1,mep,carotenoids,9
AT5G52570,BCH2/CHY2,mep,carotenoids,9
AT1G78955,CAMS1,mva,triterpenes,4
AT2G07050,CAS1,mva,triterpenes,4
AT1G06820,CCR2/CRTISO,mep,carotenoids,7
AT2G26930,CMK,mep,,-4
AT1G57770,CRTISO2,mep,carotenoids,7
AT5G44620,CYP706A3,,,
AT3G13290,CYP71A19,,,
AT4G13310,CYP71A20,,,
AT3G25180,CYP82G1,,,3
AT4G15110,CYP97B3,mep,carotenoids,10
AT5G62790,DXR,mep,,-6
AT4G15560,DXS1,mep,,-7
AT5G47770,FPS1,mva,,1
AT4G17190,FPS2,mva,,1
AT4G25420,GA20OX1,mep,giberellins,5
AT5G51810,GA20OX2,mep,giberellins,5
AT5G07200,GA20OX3,mep,giberellins,5
AT1G60980,GA20OX4,mep,giberellins,5
AT1G44090,GA20OX5,mep,giberellins,5
AT1G78440,GA2OX1,mep,giberellins,5
AT1G30040,GA2OX2,mep,giberellins,5
AT2G34555,GA2OX3,mep,giberellins,5
AT1G47990,GA2OX4,mep,giberellins,5
AT1G02400,GA2OX6,mep,giberellins,5
AT1G50960,GA2OX7,mep,giberellins,5
AT4G21200,GA2OX8,mep,giberellins,5
AT1G15550,GA3OX1,mep,giberellins,6
AT1G80340,GA3OX2,mep,giberellins,6
AT4G21690,GA3OX3,mep,giberellins,6
AT1G80330,GA3OX4,mep,giberellins,6
AT1G49530,GGPS1,mep,,1
AT3G32040,GGPS10,mep,,
AT4G36810,GGPS11,mep,,1
AT2G18620,GGPS2,mep,,
AT2G18640,GGPS3,mep,,1
AT2G23800,GGPS4,mep,,1
AT3G14510,GGPS5,mep,,
AT3G14530,GGPS6,mep,,
AT3G14550,GGPS7,mep,,1
AT3G20160,GGPS8,mep,,
AT3G29430,GGPS9,mep,,
AT4G38460,GGR,mep,,1
AT2G34630,GPS1 (PPPS),mep,,1
AT4G34350,HDR (OR ISPH),mep,,-1
AT5G60600,HDS (OR ISPG),mep,,-2
AT1G76490,HMG1,mva,,-2
AT2G17370,HMG2,mva,,-2
AT4G11820,HMGS,mva,,-3
AT5G16440,IDI1,mep,,0
AT3G02780,IDI2,mep,,0
AT1G05160,KAO1,mep,giberellins,4
AT2G32440,KAO2,mep,giberellins,4
AT3G01090,KIN10,mva,,
