,M1646_1,M1647_1,M01135_GAMYB_Q2,M0040_1,M0041_1,M1313_1,M0149_1,M01164_SQUA_01,M2368_1,M0008_1,M2369_1,ATHB2_binding_site_motif,M1561_1,LS5_promoter_element,M1678_1,M1679_1,M0821_1,E2F_DP_BS_in_AtCDC6,ACE_promoter_motif,M0037_1,M2356_1,M00151_AG_01,M0036_1,M2357_1,M1365_1,M01191_HDG7_01,SORLREP1,EveningElement_promoter_motif,OBP-1-4-5_BS_in_GST6,M1697_1,M1696_1,M0265_1,M0264_1,M2363_1,M00440_CG1_Q6,M1211_1,T-box_promoter_motif,M00819_KNOX3_01,M0142_1,M00417_ATHB9_01,M1921_1,Bellringer_replumless_pennywise_BS3_IN_AG,M1319_1,SORLIP1,M00344_RAV1_02,M00942_CPRF1_01,M01054_BHLH66_01,M00681_WRKY_Q2,M00376_TGA1A_Q2,M00441_GBF_Q2,M01114_E2F_Q2,M00479_ALFIN1_Q2,M1326_1,M1327_1,SORLIP3,AP1_BS_in_AP3,TGA1_binding_site_motif,M1576_1,M0370_1,M0371_1,M0840_1,M1618_1,M0841_1,M1619_1,M00089_ATHB1_01,M0591_1,M0590_1,ATB2_AtbZIP53_AtbZIP44_GBF5_BS_in_ProDH,M1650_1,M2662_1,M0765_1,M0764_1,Inr,M1842_1,M2341_1,M0020_1,M0021_1,M0653_1,M00943_TAF1_01,M00345_GAMYB_01,EIN3_BS_in_ERF1,AGL15_BS_in_AtGA2ox6,M0155_1,M0014_1,M0272_1,M0273_1,M0015_1,M2374_1,M00408_MADSA_Q2,M01133_AG_Q2,M1346_1,HSEs_binding_site_motif,M1680_1,M1681_1,M1403_1,SORLREP3,M1402_1,M1331_1,M1330_1,M00969_ATMYB15_01,Y_Patch,M01180_SPL14_01,M1940_1,M1941_1,M0682_1,Bellringer_replumless_pennywise_BS2_IN_AG,M01194_PDF2_01,CCA1_binding_site_motif,OBF4-5_BS_in_GST6,M0847_1,M0846_1,M0019_1,M0018_1,M2379_1,M00352_DOF1_01,M0376_1,M1656_1,M1657_1,M1303_1,M0762_1,M0763_1,M0158_1,M0027_1,M2346_1,AG_BS_in_SPL_NOZ,M0026_1,M2347_1,M1620_1,M00968_ATMYB77_01,M01189_CBNAC_02,M00700_ROM_Q2,M00654_OSBZ8_Q6,M0654_1,M0655_1,M00404_MADSB_Q2,M0166_1,M0167_1,M0153_1,M00371_CPRF2_Q2,M1309_1,M0768_1,M0769_1,M00949_AGL15_01,M00506_LIM1_01,M1686_1,M0081_1,M0080_1,M0013_1,M2373_1,M0012_1,M1341_1,M1340_1,M1404_1,M1405_1,M00788_EMBP1_02,M1663_1,M00392_AGL3_01,M01062_AGL2_02,M1336_1,M1337_1,M1277_1,AtMYB2_BS_in_RD22,LFY_consensus_binding_site_motif,M1276_1,M00401_ABF1_03,M00434_PIF3_01,ARF_binding_site_motif,SBP-box_promoter_motif,M0581_1,M0329_1,M00702_SPF1_Q2,SORLREP5,M1315_1,M1314_1,JASE1_motif_in_OPR1,M1566_1,M1700_1,M00442_ABF_Q2,M1701_1,Nonamer_promoter_motif,M1567_1,M0268_1,M0269_1,M0850_1,M0851_1,M0079_1,M0078_1,CArG1_motif_in_AP3,M0256_1,M2351_1,M0030_1,M2350_1,M0031_1,M0257_1,M00367_HBP1A_Q2,M1363_1,M0262_1,M0004_1,M2365_1,M0005_1,M2364_1,M0263_1,M00370_CPRF3_Q2,AP1_BS_in_SUP,CArG2_motif_in_AP3,M1690_1,M1691_1,M0677_1,M0145_1,M00439_C1_Q2,DRE_promoter_motif,CArG3_motif_in_AP3,M00375_TGA1B_Q2,M01006_AGP1_01,SORLIP5,M0073_1,M0072_1,M00315_GEN_INI_B,M01186_STF1_01,M1321_1,M1320_1,M01050_ARR10_01,M2380_1,M2381_1,M0649_1,M0648_1,M01188_CBNAC_01,ATHB6_binding_site_motif,M0156_1,M0157_1,M0665_1,M1345_1,M1344_1,M0849_1,M0848_1,M0017_1,M0271_1,M0270_1,M0016_1,M00950_AG_02,M2377_1,M1683_1,M1682_1,CArG_promoter_motif,M01156_BZR1_01,M1332_1,PI_promoter_motif,M1333_1,M1400_1,M1401_1,M01021_ID1_01,M0029_1,M2348_1,M0028_1,M2349_1,M0681_1,RY-repeat_promoter_motif,M0680_1,M1943_1,M0121_1,M1575_1,M0373_1,M0372_1,M1689_1,M1688_1,M0843_1,M0842_1,M1836_1,M2661_1,M0766_1,M0767_1,GCbox,CAATbox,M1278_1,M00653_OCSBF1_01,M2342_1,M0023_1,M2343_1,M0022_1,M0162_1,M0163_1,M01052_MYB80_01,M0650_1,M0651_1,M01192_HDG9_01,JASE2_motif_in_OPR1,M00937_TGA1A_Q2_01,M0758_1,M0759_1,M1338_1,M1339_1,M1694_1,M1695_1,M1569_1,M00958_ABI4_01,M2361_1,M0266_1,M01055_NAC691_01,SORLREP2,M0267_1,M00368_CPRF_Q2,LFY_BS_in_AP3,M2699_1,M00343_RAV1_01,CBF1_BS_in_cor15a,M00948_PCF2_01,M00369_TAF1_Q2,M0258_1,M0259_1,M1325_1,W-box_promoter_motif,M1324_1,RAV1-B_binding_site_motif,M1416_1,M0771_1,M0770_1,DPBF1_2_binding_site_motif,M1645_1,M1644_1,M0043_1,M00936_HBPA1_Q6_01,M0854_1,CCA1_motif1_BS_in_CAB1,MYB_binding_site_promoter,M00353_DOF2_01,M00366_EMBP1_Q2,M1562_1,L1-box_promoter_motif,M1563_1,TEF-box_promoter_motif,M01061_AGL2_01,SORLIP2,M0646_1,M00635_GT1_Q6,Hexamer_promoter_motif,EIL1_BS_in_ERF1,M0034_1,M2355_1,M0252_1,M0035_1,M2354_1,ATHB1_binding_site_motif,M00503_ATHB5_01,DRE-like_promoter_motif,M00735_ZAP1_01,M00507_TRAB1_Q2,M0261_1,M0007_1,M0006_1,M0260_1,M1693_1,M1692_1,M0369_1,M1648_1,M1649_1,M0229_1,M0588_1,M0589_1,M0146_1,M0147_1,M0039_1,M2358_1,M0038_1,M2359_1,LS7_promoter_element,M01179_CBT_01,M00435_PIF3_02,M1322_1,M1323_1,M00393_AGL3_02,M00399_ABF1_01,M1410_1,M1411_1,M1677_1,M2383_1,M2382_1,M00660_RITA1_01,M0582_1,M0583_1,GATA_promoter_motif_LRE,M1316_1,M1317_1,M1642_1,CCA1_motif2_BS_in_CAB1,M1702_1,TATAbox,M1564_1,M1699_1,BoxII_promoter_motif,M01059_AGL1_01,M00501_ANT_01,M0853_1,M0852_1,M00952_PCF5_01,Z-box_promoter_motif,octamer_promoter_motif,M1329_1,GA,M2863_1,M1195_1,Ibox_promoter_motif,M00355_PBF_01,M0255_1,M2352_1,M0033_1,M2353_1,M01193_ML1_01,M0032_1,M0151_1,M0150_1,SORLIP4,M00502_TEIL_01,M01060_AGL1_02,M00354_DOF3_01,M00361_CDC5_01,M1932_1,M1684_1,M1685_1,M01136_DOF_Q2,M0118_1,M0119_1,M01126_BPC1_Q2,M00970_ATMYB84_01,M1343_1,M2371_1,M0010_1,M2370_1,M0011_1,ABFs_binding_site_motif,CBF2_binding_site_motif,M00945_CPRF2_01,M01187_STF1_02,M1335_1,M1334_1,M1407_1,TELO-box_promoter_motif,M1406_1,E2F_binding_site_motif,M01128_SED_Q2,M00149_SBF1_01,M1274_1,M1275_1,M0844_1,M0845_1,Bellringer_replumless_pennywise_BS1_IN_AG,M00697_HBP1B_Q6,PRHA_BS_in_PAL1,M0761_1,M0760_1,MRE_motif_in_CHS,M1655_1,M1209_1,VOZ_binding_site,SORLREP4,M01130_PBF_Q2,M0024_1,M2345_1,M0025_1,M2344_1,M00946_TGA1B_01,M00400_ABF1_02,M01057_ERF2_01,M0165_1,M0164_1,M0657_1,M0656_1
Chr1_-_1821894_AT1G06000_tair(-),68,88,97,81,109,55,55,49,77,47,114,28,59,52,58,49,41,187,70,111,69,54,103,60,46,46,37,49,48,68,57,66,61,133,78,68,54,85,31,76,79,37,43,70,96,71,66,68,68,78,83,110,63,77,56,41,58,55,48,68,61,82,68,102,48,33,28,46,69,41,74,60,59,26,78,100,88,59,79,74,259,36,82,93,86,72,95,50,51,56,59,59,56,59,23,27,38,66,60,65,148,54,97,62,46,30,45,60,262,84,52,90,121,110,67,42,88,78,34,42,64,58,98,67,102,92,258,98,78,62,82,110,44,48,53,58,79,62,70,47,63,67,41,104,56,54,79,44,80,98,71,21,79,48,56,62,61,54,62,77,89,59,52,44,168,104,53,33,68,59,28,39,67,60,57,33,66,119,54,72,38,67,72,30,50,75,64,128,69,82,57,105,84,77,79,81,73,95,39,87,98,70,77,51,176,72,48,92,45,104,62,217,78,63,79,71,63,75,88,72,68,53,86,72,50,41,43,35,68,58,72,59,54,23,59,89,71,54,99,55,54,60,62,42,51,60,64,68,48,61,67,103,81,102,64,47,53,47,111,54,37,59,41,51,57,36,30,53,41,72,75,80,61,41,46,71,94,85,103,62,77,42,65,45,40,79,91,58,57,63,63,54,51,34,101,60,72,91,38,52,77,92,88,94,69,93,83,57,75,71,33,77,53,67,65,66,67,79,89,109,90,30,43,67,71,83,56,23,39,74,59,38,37,22,75,211,67,59,58,83,54,42,42,69,71,91,68,113,112,69,59,70,62,75,96,65,36,58,51,64,108,61,107,58,51,76,97,56,71,53,171,63,76,76,90,72,62,62,70,43,49,38,5,59,59,15,53,73,34,78,92,58,42,84,34,87,54,96,105,49,38,55,65,92,102,63,38,77,59,53,30,40,69,70,85,62,54,60,89,50,16,81,82,49,33,82,42,94,61,68,69,75,43,70,63,63,58,80,59,38,107,78,21,57,42,83,179,71,47,207,73,51,61,65,45,94,67,110,88,79,166,90,70,60,48,54
Chr1_+_5478754_AT1G15950_tair(+),53,56,81,77,88,43,41,38,64,60,73,23,62,38,58,62,41,133,65,98,78,56,91,53,37,56,22,44,38,56,61,65,61,140,62,48,33,89,35,70,105,30,49,54,72,56,54,50,59,65,50,108,49,53,53,38,71,39,52,48,54,75,47,84,43,40,37,30,46,51,62,52,39,38,95,76,73,88,63,67,231,57,83,63,83,66,69,46,73,33,46,48,61,66,44,56,38,51,62,84,66,36,120,51,49,31,43,61,205,57,39,78,114,74,86,30,71,62,37,40,53,49,90,48,125,86,380,68,65,56,57,76,69,37,69,59,56,58,59,49,61,56,34,63,60,49,59,71,79,87,60,20,70,40,49,51,53,49,71,63,54,43,32,42,165,112,30,28,45,35,25,37,53,51,63,39,71,105,63,47,34,65,72,35,30,60,58,105,61,50,41,70,74,62,61,51,59,76,38,78,97,63,65,42,114,54,45,74,51,61,31,151,71,56,85,70,60,38,89,48,50,53,74,78,81,72,38,30,59,45,60,53,55,23,34,70,80,52,67,51,48,58,58,50,50,61,46,41,38,66,43,83,93,88,84,57,47,56,91,73,45,52,48,52,61,21,29,43,26,58,59,49,39,37,28,55,90,67,94,58,65,45,55,76,49,65,79,48,45,52,46,63,52,35,83,48,51,114,35,33,63,101,87,81,64,64,63,50,64,36,35,51,46,55,53,51,47,66,58,93,65,36,42,58,88,62,48,48,42,97,66,28,46,33,50,179,62,52,50,80,52,39,43,48,60,69,59,98,90,59,62,55,61,65,69,46,39,43,57,52,100,58,96,51,46,66,98,51,47,46,133,54,72,69,77,57,39,44,59,57,51,31,7,48,58,19,55,63,40,62,76,38,53,68,30,57,42,99,100,34,46,81,55,56,83,63,49,65,45,45,47,49,66,101,77,57,54,57,104,50,22,99,101,38,28,71,40,78,55,54,59,83,59,47,45,57,50,48,33,41,93,65,14,37,40,70,96,57,46,135,53,39,63,36,63,88,83,92,76,69,144,73,60,59,80,45
Chr1_+_11475807_AT1G31950_tair(+),53,41,51,34,39,27,53,37,47,47,62,27,32,52,41,48,40,132,48,46,39,36,42,34,48,45,46,41,51,44,49,46,48,68,57,43,55,56,23,52,63,35,33,46,48,46,48,41,45,60,41,53,36,51,40,36,64,20,33,34,42,30,56,36,30,42,44,41,57,37,50,41,43,21,53,43,33,47,47,40,120,42,61,40,60,48,44,46,37,43,38,52,46,42,38,45,44,45,34,57,96,47,52,44,36,35,20,49,111,43,41,37,53,54,37,38,54,49,36,44,40,47,39,42,54,33,108,44,47,33,46,74,38,42,35,50,49,52,47,43,35,40,38,60,47,50,39,44,67,44,50,17,52,40,47,55,34,44,52,38,37,44,35,46,80,83,42,37,42,48,42,41,50,39,33,38,42,76,48,46,40,56,51,26,51,31,45,79,55,48,28,59,35,54,59,41,37,36,28,43,68,50,53,43,90,47,36,49,42,58,42,111,54,41,53,46,39,39,61,50,36,40,51,58,40,34,37,30,59,46,37,41,41,21,45,26,45,46,49,38,45,44,46,32,39,43,49,35,48,46,42,43,44,44,50,40,56,52,52,26,22,50,35,42,44,35,23,38,23,45,47,44,40,35,34,61,44,59,43,56,57,31,40,37,30,50,68,37,39,23,42,42,44,35,47,47,47,64,46,46,52,39,45,39,44,53,54,54,49,32,33,52,39,44,44,43,52,51,42,41,45,37,43,48,48,56,42,26,37,52,44,14,31,37,36,103,38,60,51,32,51,33,38,37,41,54,60,42,42,43,44,47,36,43,57,50,30,41,39,35,38,43,40,45,36,51,71,36,34,35,86,49,39,30,35,40,47,38,82,55,38,41,8,34,48,21,40,50,33,47,51,46,27,39,33,52,31,54,82,33,45,40,51,61,43,63,28,33,48,44,48,50,45,44,57,36,38,44,44,30,22,59,51,33,38,31,42,34,48,54,49,56,41,29,50,45,44,55,48,29,36,35,21,49,44,57,68,44,42,139,56,48,38,55,35,41,67,48,57,50,82,42,53,52,38,39
Chr1_+_12233769_AT1G33750_tair(+),46,55,57,51,50,37,51,44,35,68,72,20,40,34,42,38,28,85,56,49,54,47,42,36,55,34,41,45,43,46,42,53,52,74,49,51,67,47,28,42,49,34,38,48,50,42,49,30,39,56,54,49,43,39,44,37,51,26,29,32,46,42,43,38,31,37,40,25,54,39,42,40,46,26,65,44,43,48,45,36,131,49,52,39,51,51,43,45,51,50,40,43,43,42,38,56,30,37,39,47,68,47,48,49,38,28,37,60,124,49,38,50,50,60,46,31,49,53,41,48,37,51,48,50,48,42,144,43,35,34,49,58,39,35,59,51,42,48,48,37,47,40,39,63,52,54,52,64,67,50,47,26,41,38,43,53,49,43,35,45,38,41,41,36,84,57,35,39,37,44,35,36,56,23,36,32,48,72,44,51,35,53,55,34,42,33,57,70,47,50,38,50,51,54,52,50,41,45,33,49,69,39,51,40,88,43,37,49,37,50,42,94,50,46,44,50,39,29,66,34,55,44,47,55,42,46,34,30,55,48,43,47,31,28,29,38,44,35,48,40,43,42,40,45,42,36,52,42,38,46,56,52,56,48,47,40,51,46,53,28,30,40,33,46,38,31,34,37,39,43,40,42,42,36,30,56,53,53,47,44,58,41,35,40,41,39,57,45,44,36,29,40,44,31,63,51,43,59,47,49,51,52,50,56,51,51,58,43,46,41,31,42,43,46,48,34,56,46,42,45,55,30,39,38,51,51,37,36,29,45,43,16,33,29,38,103,48,57,48,40,40,38,41,41,50,43,43,51,53,46,42,42,44,47,52,45,37,43,43,51,49,36,44,48,32,49,58,39,45,42,90,45,40,40,45,40,44,31,58,56,39,44,11,45,43,30,35,51,22,50,60,37,26,42,37,53,46,65,64,35,26,40,42,53,50,55,38,42,48,47,54,40,57,41,48,47,43,41,52,37,26,80,49,27,38,43,40,42,52,53,42,59,46,45,43,43,38,49,46,38,36,37,17,32,45,50,75,55,48,91,55,39,32,39,46,44,58,50,59,45,95,39,50,47,48,34
Chr1_+_18049844_AT1G48800_tair(+),34,27,34,22,22,22,25,27,30,45,35,30,25,26,26,35,20,60,34,21,48,29,18,34,40,42,33,59,42,36,31,35,18,27,28,36,53,35,18,39,28,34,13,29,34,23,32,39,29,27,36,29,28,30,41,34,41,13,20,26,26,21,48,9,33,54,54,25,40,42,39,41,41,31,51,19,20,31,26,27,66,36,37,20,25,29,24,44,51,30,30,33,37,43,36,50,20,43,26,32,46,27,32,36,18,25,42,55,60,23,29,27,23,31,32,18,30,28,33,40,30,27,23,39,37,25,106,19,30,28,26,38,36,24,48,36,26,29,27,41,36,32,22,44,37,40,23,47,36,19,22,13,31,28,26,40,28,28,30,34,23,30,20,31,33,37,37,34,23,26,19,28,40,33,39,22,36,32,32,33,16,24,32,30,31,14,33,47,25,35,31,29,32,27,27,35,23,18,33,18,27,18,32,42,45,33,31,18,92,30,29,50,27,29,46,29,30,34,35,32,36,36,37,26,35,35,33,33,32,34,14,32,41,19,26,16,22,23,22,36,27,37,27,35,25,31,41,27,29,37,40,25,43,22,38,20,44,41,23,18,7,31,24,32,25,33,30,35,27,37,25,21,31,29,19,28,18,25,26,26,31,23,18,28,31,36,34,40,41,20,39,32,37,21,19,32,14,38,32,32,25,30,27,32,27,32,28,27,30,27,31,31,25,23,29,23,33,26,34,21,42,32,44,34,26,27,21,41,21,30,29,12,33,29,24,44,35,33,29,12,38,35,37,24,29,20,29,23,24,28,30,35,25,31,35,38,60,64,45,31,12,41,15,38,30,30,31,35,29,25,36,36,17,19,27,22,27,21,62,39,30,41,9,57,33,25,20,37,31,32,29,23,13,24,30,30,22,39,32,27,28,26,20,47,21,39,36,27,30,28,32,39,31,28,22,42,31,29,33,28,35,50,24,26,23,18,23,14,27,24,29,33,20,29,28,51,31,46,24,28,11,17,18,22,64,33,44,33,40,56,43,20,35,45,34,22,36,23,29,26,46,11,29,25,38,31
Chr1_+_18055229_AT1G48820_tair(+),27,23,34,23,19,23,25,39,25,39,32,36,17,22,30,42,22,38,38,19,37,30,16,33,37,44,27,67,34,28,31,38,25,22,20,32,47,28,25,31,44,23,22,29,30,20,33,38,13,26,33,20,31,37,39,29,42,7,20,14,17,16,34,2,33,59,49,23,32,33,41,45,43,33,49,15,17,36,23,21,43,34,25,17,23,32,16,43,44,34,26,39,33,32,40,53,20,44,23,13,38,24,40,33,19,30,39,66,45,12,26,24,17,21,39,16,31,24,32,36,26,19,23,24,37,21,131,18,25,23,18,21,33,24,46,38,14,27,19,40,42,27,37,26,32,33,28,38,35,18,28,12,23,25,32,31,34,35,36,34,15,24,30,20,32,30,39,36,18,21,35,28,48,34,36,21,24,31,33,40,18,23,38,29,29,7,32,37,25,46,28,21,27,24,27,28,27,22,30,22,30,20,26,34,32,27,28,11,68,27,28,35,17,39,43,18,20,21,37,33,33,38,33,41,27,39,36,21,27,30,15,31,38,15,36,12,31,22,20,37,37,33,26,30,25,26,41,22,27,33,29,15,44,17,40,24,41,49,18,11,7,21,19,32,29,30,30,44,32,37,27,11,25,27,17,25,20,27,16,16,27,30,15,39,28,26,36,40,40,20,36,42,35,17,17,28,14,35,34,20,24,22,23,32,24,22,25,20,36,18,27,36,14,14,25,24,29,20,22,20,14,29,43,30,35,28,15,45,12,33,38,14,35,25,16,40,27,26,21,12,29,34,29,26,26,18,23,22,14,30,28,27,23,23,30,34,47,59,36,34,11,34,13,30,25,25,22,29,31,35,25,24,10,20,21,26,17,15,39,51,27,35,5,42,29,27,12,33,30,33,32,47,13,19,33,33,20,57,22,23,37,33,22,43,13,36,40,22,30,20,39,40,29,35,19,31,34,33,58,20,32,69,34,25,26,17,27,18,26,21,19,33,33,23,18,37,31,34,21,30,8,10,25,24,70,24,33,30,33,42,30,42,26,40,47,18,30,19,27,26,27,14,21,26,39,23
Chr1_-_18068090_AT1G48850_tair(-),43,42,54,56,45,50,37,65,67,69,64,21,33,36,42,42,31,126,44,50,50,53,42,39,51,45,34,39,57,41,45,53,42,67,37,44,72,45,18,68,63,34,39,35,68,42,54,48,43,54,51,68,45,49,41,57,54,21,36,41,45,41,55,42,51,55,61,30,45,39,48,47,54,24,54,45,41,40,44,34,132,56,48,47,51,50,46,38,57,52,37,67,44,39,31,41,24,57,60,66,105,33,48,48,24,25,43,41,138,46,38,51,50,49,32,29,42,50,34,44,42,44,61,43,54,61,95,38,67,55,45,57,33,27,58,58,36,45,43,42,58,42,52,62,44,32,33,70,53,43,38,22,39,23,50,44,57,51,41,49,40,31,51,33,105,62,54,28,34,41,33,44,53,37,37,23,45,59,48,43,27,42,56,33,38,29,52,77,36,87,43,44,52,38,39,56,50,42,49,47,61,42,43,56,108,44,38,29,24,52,24,132,44,42,57,66,62,43,60,38,55,49,42,57,35,29,46,38,45,49,28,37,40,21,39,45,51,46,48,50,50,48,39,52,27,42,68,40,27,44,68,52,51,47,54,32,55,41,61,32,22,59,39,33,31,28,29,50,51,45,41,47,45,39,27,40,43,39,52,49,45,31,21,42,38,40,50,51,50,54,40,42,43,24,42,38,43,45,31,31,51,44,40,50,61,35,39,46,52,54,36,52,40,18,41,36,34,46,51,45,44,24,28,31,39,55,32,32,23,53,53,17,31,26,37,105,66,45,52,53,36,42,45,47,51,42,49,50,49,58,43,50,37,50,46,61,49,57,46,52,45,32,44,45,32,54,55,45,49,51,92,28,24,44,53,48,38,38,83,41,38,42,9,38,50,12,23,52,32,63,64,37,26,44,31,48,38,71,64,32,34,44,39,107,51,45,37,49,51,43,57,31,60,52,47,50,48,48,61,36,18,68,79,40,30,47,26,41,47,43,42,60,65,48,25,34,29,77,50,36,32,33,22,40,32,47,72,54,49,133,45,36,31,66,44,40,59,58,54,43,78,41,42,45,40,36
Chr1_-_19161552_AT1G51680_tair(-),45,72,109,79,87,39,39,44,69,54,132,31,59,66,66,65,42,187,42,98,65,70,95,45,31,38,27,38,45,79,64,70,44,112,68,56,57,84,34,63,78,39,33,63,82,52,40,74,56,74,71,58,49,54,36,45,65,41,37,52,66,74,50,85,50,32,33,45,45,43,49,42,67,30,71,89,75,39,63,72,251,45,52,91,71,69,87,34,55,53,46,31,62,64,40,38,36,49,50,45,131,52,69,44,30,34,37,59,227,89,46,97,103,80,50,31,66,67,32,35,61,47,92,64,57,86,81,77,69,53,84,105,35,47,60,40,47,43,62,37,34,54,34,134,73,55,71,62,66,90,52,28,65,41,51,49,45,44,41,54,71,59,49,49,148,77,38,43,53,48,27,26,41,38,41,40,73,98,65,52,37,51,79,30,48,61,59,141,51,64,65,96,96,53,67,59,52,86,31,85,109,61,66,47,160,75,60,75,61,101,53,197,79,38,34,60,53,57,95,44,52,27,77,83,53,34,38,42,53,36,54,47,40,22,56,78,69,62,102,56,43,65,65,43,37,66,59,60,54,72,58,100,74,94,61,49,28,43,102,24,57,43,36,55,55,34,34,39,36,44,65,70,65,49,44,48,85,66,96,52,54,48,56,28,44,87,80,34,29,55,44,57,69,36,104,40,58,73,37,32,55,74,73,88,75,68,72,43,79,46,45,53,52,62,57,39,42,68,75,106,73,33,47,84,45,59,56,26,45,60,52,26,38,29,69,199,65,43,53,76,33,40,47,74,55,61,45,93,105,53,68,72,53,69,67,55,40,40,32,60,97,48,93,33,44,74,92,44,42,46,103,66,77,64,87,63,53,56,69,28,40,27,10,46,64,24,44,75,30,82,88,48,49,65,28,48,43,42,96,40,25,47,42,68,99,52,50,78,43,38,34,33,83,54,74,58,63,67,46,47,35,41,48,47,17,77,45,87,56,56,62,87,36,50,55,52,48,67,56,38,71,56,22,54,52,93,164,57,45,224,49,47,53,67,33,81,59,109,66,73,171,87,50,45,45,51
Chr1_+_22523637_AT1G61120_tair(+),21,21,33,20,21,26,34,30,31,37,33,42,20,33,25,25,21,41,47,21,56,23,15,25,28,39,32,52,44,29,32,33,27,43,33,24,47,38,17,39,45,35,24,37,28,32,38,28,37,29,20,40,27,29,38,39,39,13,20,21,18,14,32,14,34,32,46,42,26,42,32,27,54,35,49,23,17,36,32,29,52,35,41,21,35,31,21,32,42,36,29,39,32,20,34,57,20,37,30,34,36,29,38,38,23,26,35,50,43,28,31,23,24,38,37,21,26,18,35,32,22,38,22,29,49,23,90,26,31,32,29,28,37,24,48,40,31,33,37,30,36,22,25,35,28,39,28,31,42,26,18,21,36,40,45,27,32,31,33,39,18,22,29,27,54,36,38,24,18,38,24,28,33,28,32,27,23,39,26,32,27,31,31,33,32,16,28,36,34,54,21,30,33,35,41,27,24,22,38,20,38,30,34,39,43,26,23,15,63,38,32,45,35,31,21,24,28,24,46,23,27,40,20,35,31,34,33,42,40,27,13,41,32,17,36,13,33,32,24,28,31,28,23,32,21,26,29,31,34,25,46,22,43,22,41,22,50,37,23,16,14,25,26,32,26,37,31,18,38,28,25,18,31,21,25,34,23,29,24,32,35,42,19,31,29,34,41,40,40,20,32,27,30,21,24,33,30,44,37,43,36,28,28,37,29,21,38,34,35,37,34,30,25,23,30,24,49,22,18,30,33,43,45,26,30,38,23,51,21,33,32,14,24,29,16,39,34,34,39,16,32,47,42,26,22,22,36,25,20,28,23,27,14,20,28,33,56,52,30,23,16,28,16,41,31,29,34,32,35,28,38,35,25,15,18,36,33,22,100,36,28,32,8,40,24,47,15,27,28,28,41,39,22,19,30,26,24,39,38,33,31,35,24,57,26,36,30,21,39,35,27,37,26,41,21,32,27,30,44,28,33,39,34,22,22,20,34,20,33,32,35,45,33,33,34,42,37,31,34,26,22,26,15,31,52,35,41,29,30,43,26,38,25,35,39,20,33,23,28,33,49,23,35,37,39,29
Chr1_-_22774720_AT1G61680_tair(-),41,58,54,38,50,33,38,34,44,38,59,43,42,31,48,59,34,73,46,60,55,43,51,33,36,33,17,59,38,57,50,47,47,81,44,40,39,51,25,46,45,28,33,36,52,39,46,38,41,53,36,56,35,46,42,36,40,28,19,38,43,52,49,54,29,37,35,26,42,37,55,58,38,42,50,47,49,36,47,51,116,45,58,46,51,36,56,33,44,34,44,38,56,54,36,54,28,37,37,50,46,47,52,45,32,31,39,69,105,53,43,50,49,58,47,18,61,54,26,44,46,43,51,30,54,52,93,45,45,48,34,59,41,45,44,41,52,35,44,45,48,49,24,58,51,36,38,36,55,47,43,27,37,28,49,44,33,38,52,45,46,48,23,48,91,62,35,41,44,38,24,25,32,47,43,33,50,74,60,50,28,46,43,36,39,39,44,50,45,43,36,58,47,46,43,42,37,43,32,43,51,40,42,37,93,49,48,47,88,63,28,90,48,53,36,45,47,41,49,34,41,33,55,46,45,43,34,35,47,42,39,36,46,16,43,45,42,35,48,37,39,51,50,35,42,48,47,41,34,57,35,47,47,49,48,31,43,39,54,25,24,31,22,48,51,26,42,33,32,50,50,40,39,39,32,52,50,50,51,42,53,41,33,38,38,41,55,43,44,42,53,58,58,29,54,42,43,46,51,33,44,66,57,51,51,55,45,40,38,38,33,45,53,33,53,40,47,54,54,43,48,41,41,58,44,47,36,30,37,67,38,28,41,26,31,90,42,45,37,42,43,37,35,41,38,44,41,57,58,39,50,52,39,54,60,42,59,56,29,42,54,38,56,38,35,59,65,53,30,30,85,45,38,34,69,49,35,42,62,42,37,29,8,57,54,46,41,54,58,50,49,43,29,47,37,53,49,49,61,33,29,40,40,41,50,48,39,40,42,44,38,31,50,47,61,45,54,53,47,38,38,46,66,34,24,40,33,43,47,54,44,48,35,37,43,54,38,37,31,36,65,56,18,40,73,48,78,51,43,74,45,46,46,35,42,46,61,59,55,42,92,42,46,45,47,43
